Job Title,Key Skills
 Digital Media Planner, Media Planning| Digital Media
 Online Bidding Executive, pre sales| closing| software knowledge| clients| requirements| negotiating| client| online bidding| good communication| technology
 Trainee Research/ Research Executive- Hi- Tech Operations, Computer science| Fabrication| Quality check| Intellectual property| Electronics| Support services| Research| Management| Human resource management| Research Executive
 Technical Support, Technical Support
 Software Test Engineer -hyderabad, manual testing| test engineering| test cases| web testing| web technologies
 Opening For Adobe Analytics Specialist, adobe experience manager| digital| digital marketing| adobe analytics| data analytics| aem| adobe| sitecatalyst
 Sales- Fresher-for Leading Property Consultant, channel partners| real estate| negotiation| property| Residential Sales
 Opportunity For Azure Devops Architect For Hyderabad Location, TFS| Azure| Git| VSTS| Docker| DynaTrace| Splunk| AWS
 BDE- PUNE, Bde
 Technical Support/ Product Support, technical support| support services| application support| communication skills| voice based process| semi voice| semi voice process
 Executive Assistant To Chairman, secretary| executive assistant| ea
 SEO Executive, website| web analytics| xml| link building| google analytics| case studies| seo| social media| tracking| maintaining
 Workflow Coordinator, operations| workflow| tat| monitoring| mts| email
Oracle IDAM,Oracle IDAM|OIM|OAM
 Looking Facebook /social Media Manager For our Digital Marketing Ageny, digital marketing| seo| social media marketing| content marketing| email marketing| sem| google analytics| campaign management| facebook| media management
 Wanted Engineering Fresher For MNC Chennai, instrumentation engineering| electrical engineering| Engineering| fresher| Trainee| immediate| Mechanical Engineering| electronics engineering| undergraduate
 Tooling &amp; Sampling, Help Desk| Customer Service| customer relationship| access controls| Asset Management| Vendor Management
 Account Manager, Report Generation| Policies| analytical| procedures| Analysts| Data Entry| analytical skills
 Magento Developer, Copyright| Email| jQuery| XML| Javascript| CakePHP| Customer service| Open source| Facebook| CSS3
 Looking For Trained Freshers in MS Dynamics CRM- Hyderabad, C#| MS Dynamics CRM| Microsoft Dynamics| ms dynamics
